Title,Director,Popularity
"Wind & the Lion, The","Milius, John",2.0
Carnal Knowledge,"Nichols, Mike",10.0
Getting Straight,"Rush, Richard",83.0
"Scarlet Letter, The","Wenders, Wim",55.0
"Count of Old Town, The","Adolphson, Edvin",72.0
Autumn Sonata,"Bergman, Ingmar",49.0
Gaslight,"Cukor, George",25.0
Indiscreet,"Donen, Stanley",1.0
Walpurgis Night,"Edgren, Gustaf",32.0
Joan of Arc,"Fleming, Victor",7.0
A Woman Called Golda,"Gibson, Alan",15.0
A Walk in the Spring Rain,"Green, Guy",2.0
Under Capricorn,"Hitchcock, Alfred",74.0
Notorious,"Hitchcock, Alfred",42.0
June Night,"Lindberg, Per",14.0
Goodbye Again,"Litvak, Anatole",6.0
Anastasia,"Litvak, Anatole",24.0
"Bells of St. Mary's, The","McCarey, Leo",31.0
Intermezzo,"Molander, Gustaf",32.0
A Woman's Face,"Molander, Gustaf",49.0
Swedenhielms,"Molander, Gustaf",88.0
Only One Night,"Molander, Gustav",26.0
Dollar,"Molander, Gustav",19.0
Elena & Her Men,"Renoir, Jean",33.0
Europa Fifty-One,"Rossellini, Roberto",34.0
Voyage in Italy,"Rossellini, Roberto",57.0
Fear,"Rossellini, Roberto",69.0
Stromboli,"Rossellini, Roberto",69.0
Cactus Flower,"Saks, Gene",67.0
Hideaways,,16.0
Twenty Four Hours in a Woman's Life,,16.0
Programmed to Kill,"Holzman, Allan",71.0
Conan the Barbarian,"Milius, John",45.0
Raw Nerve,"Prior, David A.",88.0
Think Dirty,"Clark, Jim",31.0
King of Comedy,"Scorsese, Martin",84.0
"Best of the Big Laff Off, The",,20.0
Amadeus,"Forman, Milos",6.0
White Lightning,"Sargent, Joseph",54.0
"Unbearable Lightness of Being, The","Kaufman, Philip",5.0
"Life & Times of Judge Roy Bean, The","Huston, John",65.0
Airport,"Seaton, George",0.0
Day for Night,"Truffaut, François",10.0
Secrets of Women,"Bergman, Ingmar",66.0
Burnt Offerings,"Curtis, Dan",35.0
Easy Rider,"Hopper, Dennis",36.0
Five Easy Pieces,"Rafelson, Bob",2.0
"Day of the Locust, The","Schlesinger, John",81.0
Goldfinger,"Hamilton, Guy",77.0
"Exorcist II, The Heretic","Boorman, John",29.0
White Lightning,"Bernds, Edward",
Lady for a Night,"Leigh, Jason",12.0
Charly,"Nelson, Ralph",38.0
High Plains Drifter,"Eastwood, Clint",57.0
Honkytonk Man,"Eastwood, Clint",69.0
Nightbreed,"Barker, Clive",72.0
Under the Sun of Satan,"Pialat, Maurice",45.0
Vagabond,"Varda, Agnes",49.0
"Bill Cosby, Live at Harrah's",,13.0
Monty Python & the Holy Grail,"Gilliam, Terry",83.0
John Cleese on How to Irritate People,,62.0
"Matchmaker, The","Anthony, Joseph",67.0
For Your Eyes Only,"Glen, John",86.0
Wings,"Wellman, William",44.0
Medicine Man,"McTiernan, John",6.0
Good Fellas,"Scorsese, Martin",15.0
Kiss of the Spider Woman,"Babenco, Hector",10.0
"Rookie, THe","Eastwood, Clint",48.0
"Sting, The","Hill, George Roy",83.0
Torpedo Run,"Pevney, Joseph",50.0
Instant Justice,"Rumar, Craig",45.0
Cyrano de Bergerac,"Rappeneau, Jean-Paul",76.0
Border Street,"Ford, Aleksander",73.0
Firehouse,"Ingvordsen, J. Christian",66.0
Morituri,"Wicki, Bernhard",9.0
From the Life of the Marionettes,"Bergman, Ingmar",58.0
Frantic,"Polanski, Roman",17.0
Coma,"Crichton, Michael",64.0
Dead Ringers,"Cronenberg, David",29.0
Golden Ninja Invasion,"Lambert, Bruce",13.0
"Exorcist, The","Friedkin, William",28.0
Alice Doesn't Live Here Anymore,,82.0
